MODE,FREQUENCY,MODAL MASS,KENE,X-DIR,RATIO%,Y-DIR,RATIO%,Z-DIR,RATIO%
145,523.2,0.3150E-03,1702.,0.000,0.00,0.000,0.00,0.000,0.00
146,526.1,0.4377E-03,2391.,0.000,0.00,0.000,0.00,0.000,0.00
147,529.9,0.5089E-03,2821.,0.000,0.00,0.000,0.00,0.000,0.00
148,533.4,0.6230E-03,3499.,0.000,0.00,0.000,0.00,0.000,0.00
149,540.5,0.1827E-03,1053.,0.000,0.00,0.000,0.00,0.000,0.00
150,553.4,0.5895E-03,3564.,0.000,0.00,0.000,0.00,0.000,0.00
151,559.1,0.4043E-03,2495.,0.000,0.00,0.000,0.00,0.000,0.00
152,560.0,0.9253E-04,572.8,0.000,0.00,0.000,0.00,0.000,0.00
153,567.6,0.8634E-02,0.5491E+05,0.000,0.00,0.000,0.00,0.000,0.00
154,569.5,0.3365E-03,2154.,0.000,0.00,0.000,0.00,0.000,0.00
155,571.5,0.2568E-02,0.1655E+05,0.000,0.00,0.000,0.00,0.000,0.00
156,575.8,0.3879E-04,253.8,0.000,0.00,0.000,0.00,0.000,0.00
157,604.5,0.2495E-03,1799.,0.000,0.00,0.000,0.00,0.000,0.00
158,610.9,0.2465E-03,1816.,0.000,0.00,0.000,0.00,0.000,0.00
159,616.6,0.4157E-03,3120.,0.000,0.00,0.000,0.00,0.000,0.00
160,624.7,0.3590E-03,2765.,0.000,0.00,0.000,0.00,0.000,0.00
161,631.6,0.3299E-03,2598.,0.000,0.00,0.000,0.00,0.000,0.00
162,636.8,0.4316E-03,3455.,0.000,0.00,0.000,0.00,0.000,0.00
163,637.4,0.3853E-03,3090.,0.000,0.00,0.000,0.00,0.000,0.00
164,641.0,0.1390E-02,0.1127E+05,0.000,0.00,0.000,0.00,0.000,0.00
165,647.2,0.2138E-03,1768.,0.000,0.00,0.000,0.00,0.000,0.00
166,650.3,0.2207E-03,1843.,0.000,0.00,0.000,0.00,0.000,0.00
167,655.3,0.6098E-03,5169.,0.000,0.00,0.000,0.00,0.000,0.00
168,656.5,0.1089E-03,926.4,0.000,0.00,0.000,0.00,0.000,0.00
169,657.2,0.3950E-03,3367.,0.000,0.00,0.000,0.00,0.000,0.00
170,659.4,0.1079E-03,926.0,0.000,0.00,0.000,0.00,0.000,0.00
171,665.1,0.8153E-03,7119.,0.000,0.00,0.000,0.00,0.000,0.00
172,668.6,0.9427E-03,8317.,0.000,0.00,0.000,0.00,0.000,0.00
173,669.7,0.3506E-03,3104.,0.000,0.00,0.000,0.00,0.000,0.00
174,671.4,0.1145E-03,1019.,0.000,0.00,0.000,0.00,0.000,0.00
175,677.7,0.5300E-03,4804.,0.000,0.00,0.000,0.00,0.000,0.00
176,680.9,0.8122E-04,743.3,0.000,0.00,0.000,0.00,0.000,0.00
177,682.1,0.1184E-02,0.1087E+05,0.000,0.00,0.000,0.00,0.000,0.00
178,686.8,0.1587E-03,1477.,0.000,0.00,0.000,0.00,0.000,0.00
179,690.4,0.4642E-03,4367.,0.000,0.00,0.000,0.00,0.000,0.00
180,694.6,0.2571E-03,2449.,0.000,0.00,0.000,0.00,0.000,0.00
181,700.9,0.4605E-03,4465.,0.000,0.00,0.000,0.00,0.000,0.00
182,705.3,0.5957E-03,5849.,0.000,0.00,0.000,0.00,0.000,0.00
183,710.0,0.1194E-03,1188.,0.000,0.00,0.000,0.00,0.000,0.00
184,718.8,0.3454E-03,3523.,0.000,0.00,0.000,0.00,0.000,0.00
185,739.2,0.4378E-04,472.2,0.000,0.00,0.000,0.00,0.000,0.00
