MODE,FREQUENCY,PERIOD,PARTIC.FACTOR,RATIO,EFFECTIVE MASS,MASS FRACTION,TO TOTAL MASS
177,682.067,0.14661E-02,0.0000,0.000000,0.00000,1.00000,0.00000
178,686.816,0.14560E-02,0.0000,0.000000,0.00000,1.00000,0.00000
179,690.380,0.14485E-02,0.0000,0.000000,0.00000,1.00000,0.00000
180,694.618,0.14396E-02,0.0000,0.000000,0.00000,1.00000,0.00000
181,700.861,0.14268E-02,0.0000,0.000000,0.00000,1.00000,0.00000
182,705.261,0.14179E-02,0.0000,0.000000,0.00000,1.00000,0.00000
183,709.971,0.14085E-02,0.0000,0.000000,0.00000,1.00000,0.00000
184,718.839,0.13911E-02,0.0000,0.000000,0.00000,1.00000,0.00000
185,739.169,0.13529E-02,0.0000,0.000000,0.00000,1.00000,0.00000
186,742.722,0.13464E-02,0.0000,0.000000,0.00000,1.00000,0.00000
187,745.652,0.13411E-02,0.0000,0.000000,0.00000,1.00000,0.00000
188,760.379,0.13151E-02,0.0000,0.000000,0.00000,1.00000,0.00000
189,761.543,0.13131E-02,0.0000,0.000000,0.00000,1.00000,0.00000
190,768.014,0.13021E-02,0.0000,0.000000,0.00000,1.00000,0.00000
191,776.369,0.12880E-02,0.0000,0.000000,0.00000,1.00000,0.00000
192,786.471,0.12715E-02,0.0000,0.000000,0.00000,1.00000,0.00000
193,789.543,0.12666E-02,0.0000,0.000000,0.00000,1.00000,0.00000
194,793.836,0.12597E-02,0.0000,0.000000,0.00000,1.00000,0.00000
195,807.026,0.12391E-02,0.0000,0.000000,0.00000,1.00000,0.00000
196,812.197,0.12312E-02,0.0000,0.000000,0.00000,1.00000,0.00000
197,813.054,0.12299E-02,0.0000,0.000000,0.00000,1.00000,0.00000
198,816.484,0.12248E-02,0.0000,0.000000,0.00000,1.00000,0.00000
199,825.771,0.12110E-02,0.0000,0.000000,0.00000,1.00000,0.00000
200,829.921,0.12049E-02,0.0000,0.000000,0.00000,1.00000,0.00000
201,834.316,0.11986E-02,0.0000,0.000000,0.00000,1.00000,0.00000
202,835.680,0.11966E-02,0.0000,0.000000,0.00000,1.00000,0.00000
203,842.206,0.11874E-02,0.0000,0.000000,0.00000,1.00000,0.00000
204,844.147,0.11846E-02,0.0000,0.000000,0.00000,1.00000,0.00000
205,844.847,0.11836E-02,0.0000,0.000000,0.00000,1.00000,0.00000
206,850.096,0.11763E-02,0.0000,0.000000,0.00000,1.00000,0.00000
207,851.286,0.11747E-02,0.0000,0.000000,0.00000,1.00000,0.00000
208,867.411,0.11529E-02,0.0000,0.000000,0.00000,1.00000,0.00000
209,873.241,0.11452E-02,0.0000,0.000000,0.00000,1.00000,0.00000
210,877.374,0.11398E-02,0.0000,0.000000,0.00000,1.00000,0.00000
211,878.405,0.11384E-02,0.0000,0.000000,0.00000,1.00000,0.00000
212,886.130,0.11285E-02,0.0000,0.000000,0.00000,1.00000,0.00000
213,895.406,0.11168E-02,0.0000,0.000000,0.00000,1.00000,0.00000
214,903.175,0.11072E-02,0.0000,0.000000,0.00000,1.00000,0.00000
215,904.979,0.11050E-02,0.0000,0.000000,0.00000,1.00000,0.00000
216,906.639,0.11030E-02,0.0000,0.000000,0.00000,1.00000,0.00000
217,908.707,0.11005E-02,0.0000,0.000000,0.00000,1.00000,0.00000
218,917.309,0.10901E-02,0.0000,0.000000,0.00000,1.00000,0.00000
219,922.606,0.10839E-02,0.0000,0.000000,0.00000,1.00000,0.00000
220,926.108,0.10798E-02,0.0000,0.000000,0.00000,1.00000,0.00000
221,932.907,0.10719E-02,0.0000,0.000000,0.00000,1.00000,0.00000
222,939.484,0.10644E-02,0.0000,0.000000,0.00000,1.00000,0.00000
223,948.182,0.10546E-02,0.0000,0.000000,0.00000,1.00000,0.00000
